chickens,eggs
59964918,288856
60285487,292435
60025354,301112
57632228,294227
58963411,295512
60875677,307358
59919280,305742
59065783,304435
58562572,290781
60634314,303794
61980887,311976
61797300,317456
59206328,296583
61314092,310928
62080535,317853
60624588,315864
63119066,318834
65192459,331513
65280214,338989
63433762,332725
63628902,327831
66930252,339666
66869124,353127
66320496,343064
66692957,337138
68698697,346857
68579215,349115
67114697,348077
68579136,346444
70327296,357960
71065669,361277
71486631,374078
74140832,372915
75360007,384648
72932431,382530
72485763,380976
71451984,355143
73133277,374322
73415517,378129
71653010,372923
72136050,370386
73536851,377619
74100661,388869
71665049,379334
74588337,382171
77408970,396306
77527816,400805
74641256,381781
77094601,387153
78673847,399267
77627101,398367
76040271,393487
80944148,412589
79862635,416540
79265747,418379
79182918,415205
79075418,402829
85213848,429211
85200091,441890
84211481,440659
88441388,448294
88311732,453256
86651752,454255
84468820,437860
87791833,440951
88260063,457278
89367994,466091
88840538,465451
90651570,467346
92509184,478017
91233180,488983
91225152,488001
93096889,484402
96131247,499723
97616359,517178
97615149,517049
99393283,516533
99899479,522181
100593413,540337
99319455,533328
101098245,527194
102816427,537800
103088245,544884
103875388,556028
106764554,559997
107839252,568218
107962537,576647
106775002,576680
109199052,580265
109942413,580999
110048615,598309
112953467,601399
115186709,603727
116209905,610592
117499846,622001
117759496,621557
118914831,620103
119177434,633902
121158411,650814
122037314,661901
125026747,672631
127385984,672409
126120846,677852
