LP_GO,LP_MG,LP_PR,LP_RS,LP_SP
0.90,0.97,0.99,1.02,0.99
0.93,0.96,0.98,1.01,0.98
0.91,0.94,0.93,0.96,0.96
0.92,0.91,0.95,0.95,0.95
0.91,0.92,0.92,0.91,0.95
0.90,0.93,0.92,0.96,0.93
0.91,0.93,0.94,0.97,0.92
0.93,0.96,0.93,0.98,0.92
0.92,0.97,0.96,1.08,0.96
0.94,0.98,0.97,1.13,0.99
0.96,1.04,0.98,1.14,1.00
0.96,0.99,1.00,1.02,0.98
0.95,0.98,0.95,0.98,0.96
0.95,0.95,0.92,0.96,0.93
0.91,0.94,0.89,0.86,0.91
0.91,0.91,0.87,0.87,0.89
0.87,0.90,0.84,0.85,0.89
0.89,0.91,0.86,0.85,0.88
0.84,0.89,0.87,0.85,0.91
0.90,0.92,0.85,0.87,0.95
0.90,0.92,0.87,0.92,0.92
0.88,0.92,0.94,0.88,0.91
0.89,0.91,0.92,0.90,0.91
0.89,0.95,0.90,0.88,0.89
0.90,0.93,0.91,0.88,0.92
0.88,0.94,0.89,0.85,0.93
0.90,0.93,0.90,0.87,0.92
0.92,0.94,0.90,0.81,0.91
0.88,0.95,0.85,0.82,0.91
0.92,0.92,0.88,0.81,0.92
0.92,0.89,0.86,0.80,0.91
0.91,0.91,0.89,0.81,0.95
0.96,0.94,0.87,0.85,0.96
1.03,0.94,0.95,0.93,1.00
1.05,1.03,1.07,1.09,1.08
1.11,1.12,1.19,1.25,1.24
1.20,1.23,1.26,1.33,1.26
1.28,1.30,1.28,1.30,1.25
1.17,1.30,1.22,1.11,1.19
1.14,1.19,1.09,1.05,1.15
1.18,1.21,1.08,1.00,1.11
1.06,1.20,1.10,1.04,1.13
1.16,1.18,1.06,1.05,1.14
1.25,1.18,1.10,1.06,1.15
1.22,1.22,1.14,1.11,1.20
1.19,1.27,1.18,1.19,1.22
1.19,1.29,1.26,1.24,1.28
1.32,1.29,1.29,1.26,1.28
1.29,1.29,1.22,1.20,1.24
1.15,1.25,1.12,1.10,1.20
1.16,1.24,1.06,1.02,1.16
1.20,1.23,1.05,0.97,1.16
1.14,1.21,1.06,1.04,1.16
1.08,1.20,1.04,1.08,1.16
1.14,1.21,1.05,1.07,1.16
1.16,1.21,1.07,1.11,1.18
1.24,1.24,1.01,1.07,1.20
1.24,1.23,1.11,1.04,1.23
1.30,1.26,1.23,1.17,1.28
1.38,1.31,1.39,1.27,1.42
1.38,1.33,1.47,1.33,1.40
1.35,1.29,1.26,1.27,1.34
1.31,1.32,1.18,1.10,1.24
1.33,1.21,1.12,1.08,1.21
1.11,1.21,1.04,1.03,1.16
1.04,1.19,1.08,1.00,1.15
1.03,1.17,1.06,1.01,1.15
1.17,1.22,1.26,1.28,1.21
1.32,1.25,1.34,1.33,1.27
1.24,1.26,1.30,1.38,1.33
1.19,1.28,1.31,1.35,1.30
1.21,1.28,1.31,1.20,1.28
1.20,1.24,1.27,1.14,1.28
1.19,1.23,1.24,1.16,1.24
1.18,1.20,1.20,1.13,1.30
1.15,1.23,1.22,1.15,1.31
1.17,1.24,1.26,1.18,1.30
1.17,1.23,1.24,1.24,1.29
1.23,1.23,1.23,1.25,1.29
1.20,1.26,1.25,1.21,1.30
1.21,1.27,1.27,1.21,1.31
1.23,1.31,1.42,1.27,1.36
1.31,1.31,1.46,1.31,1.39
1.30,1.34,1.48,1.31,1.40
1.28,1.36,1.37,1.33,1.44
1.29,1.36,1.37,1.28,1.44
1.37,1.36,1.37,1.34,1.43
1.41,1.37,1.38,1.35,1.40
1.33,1.36,1.30,1.32,1.40
1.32,1.35,1.34,1.34,1.35
1.32,1.35,1.32,1.32,1.36
1.35,1.37,1.31,1.31,1.40
1.40,1.39,1.31,1.32,1.40
1.35,1.40,1.34,1.32,1.42
1.30,1.39,1.35,1.32,1.40
1.36,1.39,1.34,1.34,1.40
1.37,1.42,1.36,1.33,1.37
1.38,1.41,1.32,1.35,1.42
1.38,1.41,1.35,1.32,1.44
1.41,1.41,1.39,1.35,1.46
1.54,1.40,1.45,1.39,1.50
1.43,1.41,1.47,1.39,1.48
1.38,1.40,1.46,1.40,1.46
