"","date","close"
"1",2016-12-30,62.14
"2",2016-12-29,62.9
"3",2016-12-28,62.99
"4",2016-12-27,63.28
"5",2016-12-23,63.24
"6",2016-12-22,63.55
"7",2016-12-21,63.54
"8",2016-12-20,63.54
"9",2016-12-19,63.62
"10",2016-12-16,62.3
"11",2016-12-15,62.58
"12",2016-12-14,62.68
"13",2016-12-13,62.98
"14",2016-12-12,62.17
"15",2016-12-09,61.97
"16",2016-12-08,61.01
"17",2016-12-07,61.37
"18",2016-12-06,59.95
"19",2016-12-05,60.22
"20",2016-12-02,59.25
"21",2016-12-01,59.2
"22",2016-11-30,60.26
"23",2016-11-29,61.09
"24",2016-11-28,60.61
"25",2016-11-25,60.53
"26",2016-11-23,60.4
"27",2016-11-22,61.12
"28",2016-11-21,60.86
"29",2016-11-18,60.35
"30",2016-11-17,60.64
"31",2016-11-16,59.65
"32",2016-11-15,58.87
"33",2016-11-14,58.12
"34",2016-11-11,59.02
"35",2016-11-10,58.7
"36",2016-11-09,60.17
"37",2016-11-08,60.47
"38",2016-11-07,60.42
"39",2016-11-04,58.71
"40",2016-11-03,59.21
"41",2016-11-02,59.43
"42",2016-11-01,59.8
"43",2016-10-31,59.92
"44",2016-10-28,59.87
"45",2016-10-27,60.1
"46",2016-10-26,60.63
"47",2016-10-25,60.99
"48",2016-10-24,61
"49",2016-10-21,59.66
"50",2016-10-20,57.25
"51",2016-10-19,57.53
"52",2016-10-18,57.66
"53",2016-10-17,57.22
"54",2016-10-14,57.42
"55",2016-10-13,56.92
"56",2016-10-12,57.11
"57",2016-10-11,57.19
"58",2016-10-10,58.04
"59",2016-10-07,57.8
"60",2016-10-06,57.74
"61",2016-10-05,57.64
"62",2016-10-04,57.24
"63",2016-10-03,57.42
"64",2016-09-30,57.6
"65",2016-09-29,57.4
"66",2016-09-28,58.03
"67",2016-09-27,57.95
"68",2016-09-26,56.9
"69",2016-09-23,57.43
"70",2016-09-22,57.82
"71",2016-09-21,57.76
"72",2016-09-20,56.81
"73",2016-09-19,56.93
"74",2016-09-16,57.25
"75",2016-09-15,57.19
"76",2016-09-14,56.26
"77",2016-09-13,56.53
"78",2016-09-12,57.05
"79",2016-09-09,56.21
"80",2016-09-08,57.43
"81",2016-09-07,57.66
"82",2016-09-06,57.61
"83",2016-09-02,57.67
"84",2016-09-01,57.59
"85",2016-08-31,57.46
"86",2016-08-30,57.89
"87",2016-08-29,58.1
"88",2016-08-26,58.03
"89",2016-08-25,58.17
"90",2016-08-24,57.95
"91",2016-08-23,57.89
"92",2016-08-22,57.67
"93",2016-08-19,57.62
"94",2016-08-18,57.6
"95",2016-08-17,57.56
"96",2016-08-16,57.44
"97",2016-08-15,58.12
"98",2016-08-12,57.94
"99",2016-08-11,58.3
"100",2016-08-10,58.02
"101",2016-08-09,58.2
"102",2016-08-08,58.06
"103",2016-08-05,57.96
"104",2016-08-04,57.39
"105",2016-08-03,56.97
"106",2016-08-02,56.58
"107",2016-08-01,56.58
"108",2016-07-29,56.68
"109",2016-07-28,56.21
"110",2016-07-27,56.19
"111",2016-07-26,56.76
"112",2016-07-25,56.73
"113",2016-07-22,56.57
"114",2016-07-21,55.8
"115",2016-07-20,55.91
"116",2016-07-19,53.09
"117",2016-07-18,53.96
"118",2016-07-15,53.7
"119",2016-07-14,53.74
"120",2016-07-13,53.51
"121",2016-07-12,53.21
"122",2016-07-11,52.59
"123",2016-07-08,52.3
"124",2016-07-07,51.38
"125",2016-07-06,51.38
"126",2016-07-05,51.17
"127",2016-07-01,51.16
"128",2016-06-30,51.17
"129",2016-06-29,50.54
"130",2016-06-28,49.44
"131",2016-06-27,48.43
"132",2016-06-24,49.83
"133",2016-06-23,51.91
"134",2016-06-22,50.99
"135",2016-06-21,51.19
"136",2016-06-20,50.07
"137",2016-06-17,50.13
"138",2016-06-16,50.39
"139",2016-06-15,49.69
"140",2016-06-14,49.83
"141",2016-06-13,50.14
"142",2016-06-10,51.48
"143",2016-06-09,51.62
"144",2016-06-08,52.04
"145",2016-06-07,52.1
"146",2016-06-06,52.13
"147",2016-06-03,51.79
"148",2016-06-02,52.48
"149",2016-06-01,52.85
"150",2016-05-31,53
"151",2016-05-27,52.32
"152",2016-05-26,51.89
"153",2016-05-25,52.12
"154",2016-05-24,51.59
"155",2016-05-23,50.03
"156",2016-05-20,50.62
"157",2016-05-19,50.32
"158",2016-05-18,50.81
"159",2016-05-17,50.51
"160",2016-05-16,51.83
"161",2016-05-13,51.08
"162",2016-05-12,51.51
"163",2016-05-11,51.05
"164",2016-05-10,51.02
"165",2016-05-09,50.07
"166",2016-05-06,50.39
"167",2016-05-05,49.94
"168",2016-05-04,49.87
"169",2016-05-03,49.78
"170",2016-05-02,50.61
"171",2016-04-29,49.87
"172",2016-04-28,49.9
"173",2016-04-27,50.94
"174",2016-04-26,51.44
"175",2016-04-25,52.11
"176",2016-04-22,51.78
"177",2016-04-21,55.78
"178",2016-04-20,55.59
"179",2016-04-19,56.39
"180",2016-04-18,56.46
"181",2016-04-15,55.65
"182",2016-04-14,55.36
"183",2016-04-13,55.35
"184",2016-04-12,54.65
"185",2016-04-11,54.31
"186",2016-04-08,54.42
"187",2016-04-07,54.46
"188",2016-04-06,55.12
"189",2016-04-05,54.56
"190",2016-04-04,55.43
"191",2016-04-01,55.57
"192",2016-03-31,55.23
"193",2016-03-30,55.05
"194",2016-03-29,54.71
"195",2016-03-28,53.54
"196",2016-03-24,54.21
"197",2016-03-23,53.97
"198",2016-03-22,54.07
"199",2016-03-21,53.86
"200",2016-03-18,53.49
"201",2016-03-17,54.66
"202",2016-03-16,54.35
"203",2016-03-15,53.59
"204",2016-03-14,53.17
"205",2016-03-11,53.07
"206",2016-03-10,52.05
"207",2016-03-09,52.84
"208",2016-03-08,51.65
"209",2016-03-07,51.03
"210",2016-03-04,52.03
"211",2016-03-03,52.35
"212",2016-03-02,52.95
"213",2016-03-01,52.58
"214",2016-02-29,50.88
"215",2016-02-26,51.3
"216",2016-02-25,52.1
"217",2016-02-24,51.36
"218",2016-02-23,51.18
"219",2016-02-22,52.65
"220",2016-02-19,51.82
"221",2016-02-18,52.19
"222",2016-02-17,52.42
"223",2016-02-16,51.09
"224",2016-02-12,50.5
"225",2016-02-11,49.69
"226",2016-02-10,49.71
"227",2016-02-09,49.28
"228",2016-02-08,49.41
"229",2016-02-05,50.16
"230",2016-02-04,52
"231",2016-02-03,52.16
"232",2016-02-02,53
"233",2016-02-01,54.71
"234",2016-01-29,55.09
"235",2016-01-28,52.055
"236",2016-01-27,51.22
"237",2016-01-26,52.17
"238",2016-01-25,51.79
"239",2016-01-22,52.29
"240",2016-01-21,50.48
"241",2016-01-20,50.79
"242",2016-01-19,50.56
"243",2016-01-15,50.99
"244",2016-01-14,53.11
"245",2016-01-13,51.64
"246",2016-01-12,52.78
"247",2016-01-11,52.3
"248",2016-01-08,52.33
"249",2016-01-07,52.17
"250",2016-01-06,54.05
"251",2016-01-05,55.05
"252",2016-01-04,54.8
